Units,Maneuvers,Probability,Fill,Avg time,Min Time,Max Time,Solution type,Avg solution,Avg iterations,Avg nodes,Avg cuts Clique,Avg cuts Cover,Avg cuts Disjunctive,Avg cuts Flow cover,Avg cuts Gomory,Avg cuts GUB,Avg cuts zero-half,Avg cuts lift and projects,Total avg cuts
10.0,7.0,0.7999999999999999,0.39999999999999997,0.13528680801391602,0.04700183868408203,0.16299915313720703,integer optimal solution,1.4285714285714286,520.4285714285714,0.0,10.428571428571429,0.0,0.0,0.0,0.14285714285714285,0.0,14.857142857142858,0.2857142857142857,25.714285714285715
10.0,7.0,0.8000000000000002,0.4000000000000001,0.02299952507019043,0.021000146865844727,0.026000499725341797,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.7999999999999999,0.5,0.02539808750152588,0.023999691009521484,0.027007102966308594,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.7999999999999999,0.5999999999999999,0.030297231674194337,0.02696847915649414,0.03900337219238281,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.7999999999999999,0.7000000000000001,0.031700968742370605,0.029998302459716797,0.03900504112243652,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.7999999999999999,0.7999999999999999,0.035900449752807616,0.032000064849853516,0.04099869728088379,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.7999999999999999,0.9000000000000001,0.03780221939086914,0.033994436264038086,0.04599738121032715,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,1.0,0.09999999999999999,0.010709500312805176,0.009999275207519531,0.011999368667602539,integer optimal solution,2.0,7.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.1,0.5
10.0,7.0,1.0,0.19999999999999998,0.02400057315826416,0.017001867294311523,0.03399825096130371,integer optimal solution,3.6,47.1,0.0,2.2,0.0,0.0,0.0,1.5,0.0,6.9,0.9,11.5
10.0,7.0,1.0,0.29999999999999993,0.07328786849975585,0.02100205421447754,0.19199919700622559,integer optimal solution,3.2,235.5,0.0,6.4,0.0,0.0,0.0,1.3,0.0,7.8,0.0,15.5
